gid;Modelo;Num. Banco;Emplazamiento;Num. Policia;Distrito;Barrio;Año Instalacion;geo_point_2d
642;MEDITERRANEO;3173;PLAÇA MÚSIC ESPÍ 13;;15 - RASCANYA;2 - TORREFIEL;;39.49665410273065, -0.3741654925215065
643;MEDITERRANEO;3172;PLAÇA MÚSIC ESPÍ 13;;15 - RASCANYA;2 - TORREFIEL;;39.49670067188185, -0.37407832108078615
646;MEDITERRANEO;3168;CARRER MONT CARMEL 27;;15 - RASCANYA;2 - TORREFIEL;;39.49673378863884, -0.37442432584929725
650;MEDITERRANEO;3164;CARRER MONT CARMEL 29;;15 - RASCANYA;2 - TORREFIEL;;39.49686521743943, -0.3744913812652724
651;MEDITERRANEO;3163;PLAÇA MÚSIC ESPÍ 3;;15 - RASCANYA;2 - TORREFIEL;;39.496811404243104, -0.3740997784917094
655;MADERA;3158;AVINGUDA CATALUNYA 17ac;;14 - BENIMACLET;1 - BENIMACLET;;39.48028661574273, -0.35413767335719065
656;MADERA;3157;AVINGUDA CATALUNYA 17ac;;14 - BENIMACLET;1 - BENIMACLET;;39.480186208542825, -0.35415242530703595
657;MADERA;3156;AVINGUDA CATALUNYA 17ac;;14 - BENIMACLET;1 - BENIMACLET;;39.4802369292997, -0.3542342328481209
661;MEDITERRANEO;3151;CARRER DOCTOR VICENT ZARAGOZÀ 74B;;14 - BENIMACLET;1 - BENIMACLET;;39.482769542624084, -0.3571278268011834
663;MEDITERRANEO;3149;CARRER DOCTOR VICENT ZARAGOZÀ 74B;;14 - BENIMACLET;1 - BENIMACLET;;39.48279438436172, -0.3571077096576289
667;MEDITERRANEO;3145;CARRER GUÀRDIA CIVIL 19;;14 - BENIMACLET;1 - BENIMACLET;;39.48259461250499, -0.3574537152743824
669;MEDITERRANEO;3142;CARRER GUÀRDIA CIVIL 19;;14 - BENIMACLET;1 - BENIMACLET;;39.482563559975276, -0.3573544729545317
672;MEDITERRANEO;3139;CARRER GUÀRDIA CIVIL 19;;14 - BENIMACLET;1 - BENIMACLET;;39.482361717401055, -0.3578587281950383
